Zone_ID,Temperature_C,Soil_Humidity_pct,Soil_Moisture_pct,Air_Humidity_pct,Pressure_kPa,pH,Rainfall_mm,Soil_Type,Soil_EC_dS_m,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Applied_Fertilizer,Urea_kg_ha,TSP_kg_ha,MOP_kg_ha,Sensor_Glitch_Flag,Growing_Condition
Zone_01,22.99,68.74,63.28,65.47,101.05,6.83,110.39,Black Soil,0.88,62.83,48.17,63.4,17-17-17,65.04,28.34,41.48,No,Optimal
Zone_02,28.94,49.74,40.78,62.61,101.5,6.56,95.74,Loam Soil,1.265,58.77,59.13,52.37,17-17-17,54.71,20.43,39.0,No,Optimal
Zone_03,25.34,39.89,24.11,62.35,101.12,6.16,30.17,Red Soil,0.59,38.53,21.64,32.67,14-35-14,54.08,28.91,22.99,No,Optimal
Zone_04,26.15,70.0,67.54,94.31,101.55,5.46,278.88,Sandy Soil,0.964,50.88,35.21,31.93,14-35-14,47.49,33.09,26.41,No,Warning
Zone_05,21.82,55.66,39.12,57.89,101.39,7.2,27.29,Clay Soil,0.572,32.06,27.96,62.63,MOP,1.1,6.42,46.47,No,Optimal
Zone_06,30.43,48.34,41.46,62.37,101.05,6.99,73.64,Alluvial Soil,0.823,63.4,39.51,51.12,10-26-26,35.15,36.11,41.61,No,Optimal
Zone_07,27.03,70.0,86.33,82.34,100.82,6.6,215.72,Loam Soil,1.278,55.98,34.34,51.19,28-28,72.2,38.49,26.62,No,Optimal
Zone_08,29.65,38.46,23.3,43.85,101.34,6.72,38.86,Red Soil,1.22,46.9,39.1,40.86,17-17-17,67.03,26.81,40.95,No,Optimal
Zone_09,24.5,58.75,40.76,60.94,101.38,5.88,86.37,Red Soil,0.479,34.26,33.14,42.12,MOP,9.35,0.26,41.57,No,Optimal
Zone_10,22.35,70.0,62.2,65.99,101.16,6.45,129.25,Loam Soil,0.944,66.67,32.15,41.97,17-17-17,38.01,25.72,37.26,No,Optimal
Zone_11,23.23,67.61,61.34,63.38,101.19,6.18,45.07,Clay Soil,0.984,70.27,54.22,47.83,Urea,60.24,9.67,5.75,No,Optimal
Zone_12,33.22,61.06,48.77,50.34,101.03,7.17,44.42,Clayey Soil,1.085,52.29,44.54,63.93,17-17-17,46.46,26.92,32.85,No,Optimal
Zone_13,35.85,59.29,40.65,47.33,100.99,6.83,65.5,Black Soil,1.096,66.84,43.15,57.91,Urea,88.59,8.35,1.22,No,Optimal
Zone_14,28.34,62.39,48.25,57.34,100.99,6.07,62.83,Clay Soil,1.37,53.65,39.96,59.82,14-35-14,47.31,28.56,30.5,No,Optimal
Zone_15,23.64,54.09,40.15,54.94,101.55,6.3,21.2,Loam Soil,1.088,75.3,42.11,55.35,10-26-26,31.66,35.73,32.59,No,Optimal
